construction,type,V2,EL
сходи узнай,M2,YES,YES
сходи узнай,M2,NO,NO
сходи узнай,M2,YES,NO
сходи узнай,M2,YES,NO
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,NO
сходи узнай,M2,YES,NO
сходи узнай,M2,YES,NO
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,NO,NO
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,NO
сходи узнай,M2,YES,NO
сходи узнай,M2,NO,YES
сходи узнай,M2,NO,NO
сходи узнай,M2,NO,NO
сходи узнай,M2,NO,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,NO,NO
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,NO,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,NO,NO
сходи узнай,M2,YES,YES
сходи узнай,M2,NO,NO
сходи узнай,M2,YES,NO
схожу узнаю,M2,NO,NO
схожу узнаю,M2,NO,YES
схожу узнаю,M2,YES,YES
схожу узнаю,M2,YES,YES
схожу узнаю,M2,YES,YES
схожу узнаю,M2,YES,NO
схожу узнаю,M2,YES,NO
схожу узнаю,M2,NO,YES
схожу узнаю,M2,YES,YES
схожу узнаю,M2,YES,YES
схожу узнаю,M2,NO,YES
схожу узнаю,M2,NO,NO
схожу узнаю,M2,YES,NO
схожу узнаю,M2,NO,NO
схожу узнаю,M2,YES,NO
схожу узнаю,M2,YES,NO
схожу узнаю,M2,NO,NO
схожу узнаю,M2,NO,YES
схожу узнаю,M2,NO,NO
схожу узнаю,M2,YES,NO
схожу узнаю,M2,YES,NO
схожу узнаю,M2,NO,NO
схожу узнаю,M2,NO,NO
схожу узнаю,M2,YES,YES
схожу узнаю,M2,YES,YES
схожу узнаю,M2,NO,YES
схожу узнаю,M2,NO,NO
схожу узнаю,M2,YES,YES
схожу узнаю,M2,NO,YES
схожу узнаю,M2,NO,NO