construction,type,V2,V3,IMP
иди ляг поспи,M1,NO,NO,YES
иди ляг поспи,M1,NO,YES,YES
иди ляг поспи,M1,NO,YES,YES
иди ляг поспи,M1,NO,NO,YES
иди ляг поспи,M1,NO,NO,YES
иди ляг поспи,M1,NO,NO,YES
иди ляг поспи,M1,NO,NO,YES
иди ляг поспи,M1,NO,NO,YES
иди ляг поспи,M1,YES,NO,YES
иди ляг поспи,M1,NO,NO,YES
иди ляг поспи,M1,YES,NO,YES
иди ляг поспи,M1,NO,NO,YES
иди ляг поспи,M1,NO,YES,YES
иди ляг поспи,M1,NO,YES,YES
иди ляг поспи,M1,NO,YES,YES
иди ляг поспи,M1,NO,NO,YES
иди ляг поспи,M1,NO,NO,YES
иди ляг поспи,M1,NO,NO,YES
иди ляг поспи,M1,NO,YES,YES
иди ляг поспи,M1,NO,NO,YES
пойду открою посмотрю,M1,NO,YES,NO
пойду открою посмотрю,M1,NO,YES,NO
пойду открою посмотрю,M1,NO,YES,NO
пойду открою посмотрю,M1,NO,NO,NO
пойду открою посмотрю,M1,NO,YES,NO
пойду открою посмотрю,M1,NO,YES,NO
пойду открою посмотрю,M1,NO,YES,NO
пойду открою посмотрю,M1,NO,YES,NO
пойду открою посмотрю,M1,NO,NO,NO
пойду открою посмотрю,M1,NO,NO,NO
пойду открою посмотрю,M1,NO,NO,NO
пойду открою посмотрю,M1,NO,YES,NO
пойду открою посмотрю,M1,NO,YES,NO
пойду открою посмотрю,M1,NO,YES,NO
пойду открою посмотрю,M1,NO,YES,NO
пойду открою посмотрю,M1,NO,NO,NO
пойду открою посмотрю,M1,NO,NO,NO
пойду открою посмотрю,M1,NO,NO,NO
пойду открою посмотрю,M1,NO,NO,NO
пойду открою посмотрю,M1,YES,YES,NO
иди сходи узнай,M1,NO,YES,YES
иди сходи узнай,M1,NO,NO,YES
иди сходи узнай,M1,NO,YES,YES
иди сходи узнай,M1,NO,NO,YES
иди сходи узнай,M1,NO,YES,YES
иди сходи узнай,M1,NO,NO,YES
иди сходи узнай,M1,NO,NO,YES
иди сходи узнай,M1,NO,NO,YES
иди сходи узнай,M1,NO,NO,YES
иди сходи узнай,M1,NO,YES,YES
иди сходи узнай,M1,NO,NO,YES
иди сходи узнай,M1,NO,NO,YES
иди сходи узнай,M1,NO,NO,YES
иди сходи узнай,M1,NO,NO,YES
иди сходи узнай,M1,YES,YES,YES
иди сходи узнай,M1,NO,NO,YES
иди сходи узнай,M1,YES,YES,YES
иди сходи узнай,M1,NO,NO,YES
иди сходи узнай,M1,NO,NO,YES
иди сходи узнай,M1,NO,NO,YES
пойду схожу узнаю,M1,NO,YES,NO
пойду схожу узнаю,M1,NO,YES,NO
пойду схожу узнаю,M1,YES,YES,NO
пойду схожу узнаю,M1,NO,YES,NO
пойду схожу узнаю,M1,NO,YES,NO
пойду схожу узнаю,M1,NO,NO,NO
пойду схожу узнаю,M1,NO,NO,NO
пойду схожу узнаю,M1,NO,NO,NO
пойду схожу узнаю,M1,YES,YES,NO
пойду схожу узнаю,M1,NO,YES,NO
пойду схожу узнаю,M1,NO,NO,NO
пойду схожу узнаю,M1,NO,YES,NO
пойду схожу узнаю,M1,NO,NO,NO
пойду схожу узнаю,M1,YES,NO,NO
пойду схожу узнаю,M1,NO,NO,NO
пойду схожу узнаю,M1,NO,NO,NO
пойду схожу узнаю,M1,NO,NO,NO
пойду схожу узнаю,M1,YES,YES,NO
пойду схожу узнаю,M1,NO,NO,NO
пойду схожу узнаю,M1,YES,YES,NO